antecedents,consequents,support,confidence,lift
"fbs=False, no_disease, thal=normal",ca=0.0,0.1,0.7603,3.8647
"ca=0.0, no_disease","fbs=False, thal=normal",0.1,0.6917,3.8337
"no_disease, thal=normal","ca=0.0, fbs=False",0.1,0.6667,3.8095
"no_disease, thal=normal",ca=0.0,0.1109,0.7391,3.7569
"ca=0.0, fbs=False, no_disease",thal=normal,0.1,0.7797,3.6596
"ca=0.0, no_disease",thal=normal,0.1109,0.7669,3.5998
"hr=high, thal=normal",ca=0.0,0.1076,0.6781,3.4466
"ca=0.0, exang=False",thal=normal,0.1065,0.7313,3.4328
"ca=0.0, hr=high",thal=normal,0.1076,0.6972,3.2725
"exang=False, thal=normal",ca=0.0,0.1065,0.6364,3.2346
"fbs=False, thal=normal",ca=0.0,0.1141,0.6325,3.2151
"ca=0.0, fbs=False",thal=normal,0.1141,0.6522,3.0612
ca=0.0,thal=normal,0.125,0.6354,2.9823
"hr=high, slope=upsloping",thal=normal,0.1011,0.6242,2.9297
"hr=high, thal=normal",slope=upsloping,0.1011,0.637,2.8868
"ca=0.0, exang=False","hr=high, no_disease",0.1076,0.7388,2.4989
"cp=atypical angina, exang=False","dp=mild, no_disease",0.1315,0.8013,2.4822
"disease, exang=True","cp=asymptomatic, slope=flat",0.1022,0.6483,2.4645
"cp=atypical angina, hr=high","dp=mild, no_disease",0.1065,0.784,2.4286
"cp=atypical angina, dp=mild","hr=high, no_disease",0.1065,0.7101,2.402
"cp=atypical angina, dp=mild","exang=False, no_disease",0.1315,0.8768,2.4008
"cp=atypical angina, exang=False","hr=high, no_disease",0.1152,0.702,2.3744
cp=atypical angina,"dp=mild, exang=False, no_disease",0.1315,0.6954,2.3608
"cp=asymptomatic, dp=severe","exang=True, sex=Male",0.1076,0.75,2.3469
"cp=atypical angina, hr=high","exang=False, no_disease",0.1152,0.848,2.3219
"cp=atypical angina, fbs=False","dp=mild, no_disease",0.1217,0.7467,2.3129
cp=atypical angina,"exang=False, hr=high, no_disease",0.1152,0.6092,2.3064
"exang=False, thal=normal","hr=high, no_disease",0.1141,0.6818,2.3061
"cp=asymptomatic, dp=severe, sex=Male",exang=True,0.1076,0.8319,2.2712
cp=atypical angina,"dp=mild, no_disease",0.138,0.7299,2.2609
"cp=atypical angina, fbs=False","hr=high, no_disease",0.1087,0.6667,2.2549
"cp=asymptomatic, disease, slope=flat",exang=True,0.1022,0.8246,2.251
cp=atypical angina,"dp=mild, fbs=False, no_disease",0.1217,0.6437,2.2431
"cp=atypical angina, fbs=False","exang=False, no_disease",0.1315,0.8067,2.2087
cp=atypical angina,"exang=False, fbs=False, no_disease",0.1315,0.6954,2.2061
"dp=mild, sex=Female","exang=False, no_disease",0.1076,0.7984,2.1861
"fbs=False, thal=normal","hr=high, no_disease",0.1163,0.6446,2.1802
"disease, slope=flat","cp=asymptomatic, exang=True",0.1022,0.6528,2.1759
"cp=atypical angina, exang=False","dp=mild, hr=high",0.1109,0.6755,2.1729
"cp=asymptomatic, dp=severe",exang=True,0.1141,0.7955,2.1716
cp=atypical angina,"hr=high, no_disease",0.1207,0.6379,2.1577
